ts_ms,open,high,low,close,volume
1745020800000,85124.721496201,85124.721496201,85124.721496201,85124.721496201,0
1745107200000,85101.7461545879,85101.7461545879,85101.7461545879,85101.7461545879,0
1745193600000,87360.7198933372,87360.7198933372,87360.7198933372,87360.7198933372,0
1745280000000,93495.6106890707,93495.6106890707,93495.6106890707,93495.6106890707,0
1745366400000,93695.7404772063,93695.7404772063,93695.7404772063,93695.7404772063,0
1745452800000,93849.8817790766,93849.8817790766,93849.8817790766,93849.8817790766,0
1745539200000,94771.4128007014,94771.4128007014,94771.4128007014,94771.4128007014,0
1745625600000,94694.5111014027,94694.5111014027,94694.5111014027,94694.5111014027,0
1745712000000,93812.876534775,93812.876534775,93812.876534775,93812.876534775,0
1745798400000,95066.0211867329,95066.0211867329,95066.0211867329,95066.0211867329,0
1745884800000,94102.8403024547,94102.8403024547,94102.8403024547,94102.8403024547,0
1745971200000,94236.7325143191,94236.7325143191,94236.7325143191,94236.7325143191,0
1746057600000,96411.7422635885,96411.7422635885,96411.7422635885,96411.7422635885,0
1746144000000,96842.1021057861,96842.1021057861,96842.1021057861,96842.1021057861,0
1746230400000,95943.61135301,95943.61135301,95943.61135301,95943.61135301,0
1746316800000,94377.7899196376,94377.7899196376,94377.7899196376,94377.7899196376,0
1746403200000,94853.7298594389,94853.7298594389,94853.7298594389,94853.7298594389,0
1746489600000,96677.9245029223,96677.9245029223,96677.9245029223,96677.9245029223,0
1746576000000,97137.3757086499,97137.3757086499,97137.3757086499,97137.3757086499,0
1746662400000,103069.539295733,103069.539295733,103069.539295733,103069.539295733,0
1746748800000,102940.802949445,102940.802949445,102940.802949445,102940.802949445,0
1746835200000,104582.821806254,104582.821806254,104582.821806254,104582.821806254,0
1746921600000,103976.137798948,103976.137798948,103976.137798948,103976.137798948,0
1747008000000,102920.074689071,102920.074689071,102920.074689071,102920.074689071,0
1747094400000,104145.711825248,104145.711825248,104145.711825248,104145.711825248,0
1747180800000,103572.719642022,103572.719642022,103572.719642022,103572.719642022,0
1747267200000,103716.283947399,103716.283947399,103716.283947399,103716.283947399,0
1747353600000,103566.269191116,103566.269191116,103566.269191116,103566.269191116,0
1747440000000,103190.041364991,103190.041364991,103190.041364991,103190.041364991,0
1747526400000,106015.689848919,106015.689848919,106015.689848919,106015.689848919,0
1747612800000,105615.828960257,105615.828960257,105615.828960257,105615.828960257,0
1747699200000,106893.330247516,106893.330247516,106893.330247516,106893.330247516,0
1747785600000,109704.855619521,109704.855619521,109704.855619521,109704.855619521,0
1747872000000,111477.014787843,111477.014787843,111477.014787843,111477.014787843,0
1747958400000,107291.888969901,107291.888969901,107291.888969901,107291.888969901,0
1748044800000,107917.328289304,107917.328289304,107917.328289304,107917.328289304,0
1748131200000,108914.876558445,108914.876558445,108914.876558445,108914.876558445,0
1748217600000,109371.985172122,109371.985172122,109371.985172122,109371.985172122,0
1748304000000,109066.345636762,109066.345636762,109066.345636762,109066.345636762,0
1748390400000,107895.402399474,107895.402399474,107895.402399474,107895.402399474,0
1748476800000,105732.957892168,105732.957892168,105732.957892168,105732.957892168,0
1748563200000,103981.302957919,103981.302957919,103981.302957919,103981.302957919,0
1748649600000,104708.964150205,104708.964150205,104708.964150205,104708.964150205,0
1748736000000,105750.15972443,105750.15972443,105750.15972443,105750.15972443,0
1748822400000,105899.696926651,105899.696926651,105899.696926651,105899.696926651,0
1748908800000,105483.98555114,105483.98555114,105483.98555114,105483.98555114,0
1748995200000,104782.844900351,104782.844900351,104782.844900351,104782.844900351,0
1749081600000,101669.190496785,101669.190496785,101669.190496785,101669.190496785,0
1749168000000,104421.051549094,104421.051549094,104421.051549094,104421.051549094,0
1749254400000,105685.250402104,105685.250402104,105685.250402104,105685.250402104,0
1749340800000,105727.739632379,105727.739632379,105727.739632379,105727.739632379,0
1749427200000,110198.15871391,110198.15871391,110198.15871391,110198.15871391,0
1749513600000,110074.119081824,110074.119081824,110074.119081824,110074.119081824,0
1749600000000,108645.785558153,108645.785558153,108645.785558153,108645.785558153,0
1749686400000,105998.985830801,105998.985830801,105998.985830801,105998.985830801,0
1749772800000,106024.822087376,106024.822087376,106024.822087376,106024.822087376,0
1749859200000,105467.108742256,105467.108742256,105467.108742256,105467.108742256,0
1749945600000,105512.797437756,105512.797437756,105512.797437756,105512.797437756,0
1750032000000,107243.933345997,107243.933345997,107243.933345997,107243.933345997,0
1750118400000,104628.396527469,104628.396527469,104628.396527469,104628.396527469,0
1750204800000,104813.367028638,104813.367028638,104813.367028638,104813.367028638,0
1750291200000,104709.720767095,104709.720767095,104709.720767095,104709.720767095,0
1750377600000,103274.958839567,103274.958839567,103274.958839567,103274.958839567,0
1750464000000,101548.196381648,101548.196381648,101548.196381648,101548.196381648,0
1750550400000,100899.234151958,100899.234151958,100899.234151958,100899.234151958,0
1750636800000,105496.947495324,105496.947495324,105496.947495324,105496.947495324,0
1750723200000,105964.065136762,105964.065136762,105964.065136762,105964.065136762,0
1750809600000,107305.065199591,107305.065199591,107305.065199591,107305.065199591,0
1750896000000,107012.822824079,107012.822824079,107012.822824079,107012.822824079,0
1750982400000,107090.95905114,107090.95905114,107090.95905114,107090.95905114,0
1751068800000,107357.617171245,107357.617171245,107357.617171245,107357.617171245,0
1751155200000,108360.901696376,108360.901696376,108360.901696376,108360.901696376,0
1751241600000,107153.101135885,107153.101135885,107153.101135885,107153.101135885,0
1751328000000,105566.356597896,105566.356597896,105566.356597896,105566.356597896,0
1751414400000,108927.13451841,108927.13451841,108927.13451841,108927.13451841,0
1751500800000,109632.159126826,109632.159126826,109632.159126826,109632.159126826,0
1751587200000,108081.395758621,108081.395758621,108081.395758621,108081.395758621,0
1751673600000,108244.788813852,108244.788813852,108244.788813852,108244.788813852,0
1751760000000,109180.005545587,109180.005545587,109180.005545587,109180.005545587,0
1751846400000,108249.401004091,108249.401004091,108249.401004091,108249.401004091,0
1751932800000,108956.631703098,108956.631703098,108956.631703098,108956.631703098,0
1752019200000,111416.806720047,111416.806720047,111416.806720047,111416.806720047,0
1752105600000,115873.903783752,115873.903783752,115873.903783752,115873.903783752,0
1752192000000,117618.605087084,117618.605087084,117618.605087084,117618.605087084,0
1752278400000,117382.372540912,117382.372540912,117382.372540912,117382.372540912,0
1752364800000,118899.737107832,118899.737107832,118899.737107832,118899.737107832,0
1752451200000,119871.096197838,119871.096197838,119871.096197838,119871.096197838,0
1752537600000,117710.89100789,117710.89100789,117710.89100789,117710.89100789,0
1752624000000,118730.187791642,118730.187791642,118730.187791642,118730.187791642,0
1752710400000,119501.663770894,119501.663770894,119501.663770894,119501.663770894,0
1752796800000,117958.511213033,117958.511213033,117958.511213033,117958.511213033,0
1752883200000,117908.52473232,117908.52473232,117908.52473232,117908.52473232,0
1752969600000,117305.680953828,117305.680953828,117305.680953828,117305.680953828,0
1753056000000,117432.435634717,117432.435634717,117432.435634717,117432.435634717,0
1753142400000,120068.00578872,120068.00578872,120068.00578872,120068.00578872,0
1753228800000,118650.587165693,118650.587165693,118650.587165693,118650.587165693,0
1753315200000,118377.081936879,118377.081936879,118377.081936879,118377.081936879,0
1753401600000,117520.17335038,117520.17335038,117520.17335038,117520.17335038,0
1753488000000,117983.204598773,117983.204598773,117983.204598773,117983.204598773,0
1753574400000,119438.164235535,119438.164235535,119438.164235535,119438.164235535,0
1753660800000,118022.637320281,118022.637320281,118022.637320281,118022.637320281,0
1753747200000,117871.370895383,117871.370895383,117871.370895383,117871.370895383,0
1753833600000,117732.643660725,117732.643660725,117732.643660725,117732.643660725,0
1753920000000,115848.339985096,115848.339985096,115848.339985096,115848.339985096,0
1754006400000,113282.144336061,113282.144336061,113282.144336061,113282.144336061,0
1754092800000,112545.673659264,112545.673659264,112545.673659264,112545.673659264,0
1754179200000,114263.693947691,114263.693947691,114263.693947691,114263.693947691,0
1754265600000,115199.933659264,115199.933659264,115199.933659264,115199.933659264,0
1754352000000,114111.36101841,114111.36101841,114111.36101841,114111.36101841,0
1754438400000,115034.678748977,115034.678748977,115034.678748977,115034.678748977,0
1754524800000,117444.913924313,117444.913924313,117444.913924313,117444.913924313,0
1754611200000,116740.687720923,116740.687720923,116740.687720923,116740.687720923,0
1754697600000,116511.655739375,116511.655739375,116511.655739375,116511.655739375,0
1754784000000,119189.198160275,119189.198160275,119189.198160275,119189.198160275,0
1754870400000,118742.043048644,118742.043048644,118742.043048644,118742.043048644,0
1754956800000,120154.32493507,120154.32493507,120154.32493507,120154.32493507,0
1755043200000,123442.67982225,123442.67982225,123442.67982225,123442.67982225,0
1755129600000,118510.27128083,118510.27128083,118510.27128083,118510.27128083,0
1755216000000,117311.209947715,117311.209947715,117311.209947715,117311.209947715,0
1755302400000,117462.42684623,117462.42684623,117462.42684623,117462.42684623,0
1755388800000,117601.952231888,117601.952231888,117601.952231888,117601.952231888,0
1755475200000,116312.914397989,116312.914397989,116312.914397989,116312.914397989,0
1755561600000,112886.10147543,112886.10147543,112886.10147543,112886.10147543,0
1755648000000,114277.320860316,114277.320860316,114277.320860316,114277.320860316,0
1755734400000,112347.102298302,112347.102298302,112347.102298302,112347.102298302,0
1755820800000,116800.977035073,116800.977035073,116800.977035073,116800.977035073,0
1755907200000,115280.444723834,115280.444723834,115280.444723834,115280.444723834,0
1755993600000,113516.122474401,113516.122474401,113516.122474401,113516.122474401,0
1756080000000,110089.533314144,110089.533314144,110089.533314144,110089.533314144,0
1756166400000,111895.295495307,111895.295495307,111895.295495307,111895.295495307,0
1756252800000,111252.307236061,111252.307236061,111252.307236061,111252.307236061,0
